timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1611697032470,1456,HTTP Request-1,200,OK,BlazeDemo Home Page 1-1,text,true,,3228,116,10,10,https://blazedemo.com/,1456,0,74
1611697032992,941,HTTP Request,200,OK,BlazeDemo Home Page 1-8,text,true,,3447,232,10,10,https://blazedemo.com/,177,0,20
1611697032992,177,HTTP Request-0,302,Found,BlazeDemo Home Page 1-8,text,true,,219,116,10,10,http://blazedemo.com/,177,0,20
1611697033170,763,HTTP Request-1,200,OK,BlazeDemo Home Page 1-8,text,true,,3228,116,10,10,https://blazedemo.com/,761,0,78
1611697033036,937,HTTP Request,200,OK,BlazeDemo Home Page 1-10,text,true,,3447,232,10,10,https://blazedemo.com/,174,0,20
1611697033036,174,HTTP Request-0,302,Found,BlazeDemo Home Page 1-10,text,true,,219,116,10,10,http://blazedemo.com/,174,0,20
1611697033211,762,HTTP Request-1,200,OK,BlazeDemo Home Page 1-10,text,true,,3228,116,10,10,https://blazedemo.com/,761,0,74
1611697033927,505,HTTP Request,200,OK,BlazeDemo Home Page 1-1,text,true,,3447,232,10,10,https://blazedemo.com/,176,0,17
1611697033927,176,HTTP Request-0,302,Found,BlazeDemo Home Page 1-1,text,true,,219,116,10,10,http://blazedemo.com/,176,0,17
1611697034103,329,HTTP Request-1,200,OK,BlazeDemo Home Page 1-1,text,true,,3228,116,10,10,https://blazedemo.com/,329,0,67
1611697033974,521,HTTP Request,200,OK,BlazeDemo Home Page 1-10,text,true,,3447,232,10,10,https://blazedemo.com/,181,0,22
1611697033974,181,HTTP Request-0,302,Found,BlazeDemo Home Page 1-10,text,true,,219,116,10,10,http://blazedemo.com/,181,0,22
1611697034155,340,HTTP Request-1,200,OK,BlazeDemo Home Page 1-10,text,true,,3228,116,10,10,https://blazedemo.com/,339,0,77
1611697033430,1199,HTTP Request,200,OK,BlazeDemo Home Page 1-9,text,true,,3447,232,10,10,https://blazedemo.com/,174,0,19
1611697033430,174,HTTP Request-0,302,Found,BlazeDemo Home Page 1-9,text,true,,219,116,10,10,http://blazedemo.com/,174,0,19
